Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2023-100001,2023-07-11,2023-11-24,Second Class,CG-10100,Bob Lee,Corporate,East,TEC-1769,Office Supplies,Binders,Binders Product 443,375.04,13,0.4,-511.51
2,CA-2023-100002,2023-01-12,2023-10-22,Second Class,CG-10236,John Smith,Consumer,Central,TEC-3558,Furniture,Tables,Tables Product 781,,2,0.4,-31.53
3,CA-2023-100003,2023-05-09,2023-07-18,Same Day,CG-10089,Alice Ray,Corporate,West,TEC-8513,Office Supplies,Art,Art Product 664,1033.33,12,0.0,3722.43
4,CA-2023-100004,2023-08-15,2023-03-14,Second Class,CG-10420,Jane Doe,Corporate,West,TEC-4843,Furniture,Furnishings,Furnishings Product 921,885.9,12,0.3,-10.31
5,CA-2023-100005,2023-08-14,2023-07-28,Second Class,CG-10190,Tom Wong,Consumer,West,TEC-1878,Technology,Machines,Machines Product 152,1552.51,2,0.1,634.97
6,CA-2023-100006,2023-09-15,2023-01-25,First Class,CG-10009,John Smith,Home Office,Central,TEC-6618,Furniture,Chairs,Chairs Product 692,1218.0,12,0.4,-1465.03
7,CA-2023-100007,2023-07-09,2023-08-12,Standard Class,CG-10033,Tom Wong,Home Office,South,TEC-9154,Office Supplies,Art,Art Product 646,1215.86,1,0.1,226.39
8,CA-2023-100008,2023-01-05,2023-10-23,First Class,CG-10398,Bob Lee,Consumer,Central,TEC-6134,Technology,Machines,Machines Product 957,1943.71,5,0.2,965.67
9,CA-2023-100009,2023-05-23,2023-07-13,First Class,CG-10171,Tom Wong,Consumer,South,TEC-4157,Furniture,Furnishings,Furnishings Product 895,411.42,13,0.0,1606.37
10,CA-2023-100010,2023-06-28,2023-12-12,Same Day,CG-10340,Bob Lee,Corporate,Central,TEC-6592,Furniture,Tables,Tables Product 330,,13,0.4,-817.55
11,CA-2023-100011,2023-07-06,2023-08-27,Second Class,CG-10318,Tom Wong,Consumer,Central,TEC-1663,Furniture,Chairs,Chairs Product 926,463.59,1,0.0,145.0
12,CA-2023-100012,2023-01-26,2023-04-12,Standard Class,CG-10295,Jane Doe,Home Office,East,TEC-2636,Furniture,Furnishings,Furnishings Product 724,1409.01,8,0.0,3386.85
13,CA-2023-100013,2023-02-21,2023-12-26,Same Day,CG-10198,Alice Ray,Home Office,Central,TEC-5218,Technology,Machines,Machines Product 500,1953.46,1,0.3,-3.85
14,CA-2023-100014,2023-01-09,2023-12-27,Standard Class,CG-10464,Tom Wong,Home Office,South,TEC-3811,Office Supplies,Paper,Paper Product 502,1967.01,4,0.2,792.83
15,CA-2023-100015,2023-07-18,2023-08-01,First Class,CG-10476,John Smith,Consumer,West,TEC-6534,Furniture,Bookcases,Bookcases Product 397,703.85,3,0.3,-2.87
16,CA-2023-100016,2023-12-17,2023-02-01,Same Day,CG-10254,Alice Ray,Consumer,East,TEC-8158,Office Supplies,Binders,Binders Product 108,1964.52,10,0.3,12.34
